2021-08-22;19;32.5;CELSIUS
2022-11-22;2.3;11.8;FAHRENHEIT
2023-12-10;-8.1;-1.2;CELSIUS
2019-01-14;-12.4;-3.2;CELSIUS
2018-02-03;-7.8;1.6;CELSIUS
2020-03-18;2.1;10.4;CELSIUS
2017-04-09;6.3;15.2;CELSIUS
2016-05-21;9.8;20.5;CELSIUS
2015-06-30;14.2;27.1;CELSIUS
2014-07-12;18.5;31.4;CELSIUS
2013-08-05;17.9;29.6;CELSIUS
2012-09-27;10.4;21.3;CELSIUS
2011-10-16;5.2;14.8;CELSIUS
2010-11-08;-1.5;7.3;CELSIUS
2009-12-19;-10.2;-2.7;CELSIUS
2008-01-25;-5.6;3.4;CELSIUS
2007-02-11;-9.1;0.8;CELSIUS
2006-03-06;1.4;9.7;CELSIUS
2005-04-23;4.8;16.5;CELSIUS
2004-05-17;8.9;19.2;CELSIUS
2003-06-02;13.5;25.8;CELSIUS
2002-07-28;16.7;30.1;CELSIUS
2001-08-14;15.9;28.6;CELSIUS
2000-09-09;11.2;22.4;CELSIUS
1999-10-31;3.8;12.6;CELSIUS
1998-11-20;-2.4;6.9;CELSIUS
1997-12-07;-11.3;-4.1;CELSIUS
1996-01-03;18.1;38.7;FAHRENHEIT
1995-02-15;12.4;34.2;FAHRENHEIT
1994-03-22;35.6;50.9;FAHRENHEIT
1993-04-10;44.8;61.5;FAHRENHEIT
1992-05-26;50.3;69.7;FAHRENHEIT
1991-06-18;58.6;78.4;FAHRENHEIT
1990-07-04;63.1;86.2;FAHRENHEIT
1989-08-29;61.7;83.5;FAHRENHEIT
1988-09-13;52.2;72.1;FAHRENHEIT
1987-10-05;41.5;58.8;FAHRENHEIT
1986-11-24;28.6;45.3;FAHRENHEIT
1985-12-16;15.9;29.8;FAHRENHEIT
1984-01-11;-14.6;-5.3;CELSIUS
1983-02-27;-8.7;2.2;CELSIUS
1982-03-19;0.6;8.9;CELSIUS
1981-04-08;5.5;14.6;CELSIUS
1980-05-30;11.3;21.9;CELSIUS
1979-06-14;15.1;26.7;CELSIUS
1978-07-22;19.4;33.2;CELSIUS
1977-08-17;16.8;28.9;CELSIUS
1976-09-03;9.7;20.6;CELSIUS
1975-10-28;4.1;13.5;CELSIUS
1974-11-12;-3.6;5.8;CELSIUS
1973-12-21;-13.2;-6.4;CELSIUS
1972-01-09;7.2;24.6;FAHRENHEIT
1971-02-18;19.4;37.9;FAHRENHEIT
1970-03-25;33.8;48.5;FAHRENHEIT
1969-04-14;45.6;60.2;FAHRENHEIT
1968-05-06;49.8;68.9;FAHRENHEIT
1967-06-27;57.5;79.1;FAHRENHEIT
1966-07-15;65.3;88.7;FAHRENHEIT
1965-08-02;62.6;84.4;FAHRENHEIT
1964-09-20;54.1;73.8;FAHRENHEIT
1963-10-11;43.7;59.5;FAHRENHEIT
1962-11-07;30.9;47.6;FAHRENHEIT
1961-12-29;11.8;26.4;FAHRENHEIT
1960-01-31;-16.9;-7.8;CELSIUS
1959-02-06;-6.4;1.1;CELSIUS
1958-03-12;1.9;11.3;CELSIUS
1957-04-26;7.1;17.4;CELSIUS
1956-05-08;10.6;22.8;CELSIUS
1955-06-19;14.7;27.5;CELSIUS
1954-07-01;18.2;31.9;CELSIUS
1953-08-23;17.1;29.8;CELSIUS
1952-09-15;12.5;23.6;CELSIUS
1951-10-03;6.8;15.7;CELSIUS
1950-11-18;-0.9;8.2;CELSIUS
1949-12-05;-9.6;-1.8;CELSIUS
1948-01-20;10.2;27.5;FAHRENHEIT
1947-02-09;16.7;33.4;FAHRENHEIT
1946-03-28;37.1;52.6;FAHRENHEIT
1945-04-16;46.2;63.9;FAHRENHEIT
1944-05-11;51.7;70.8;FAHRENHEIT
1943-06-24;59.9;81.6;FAHRENHEIT
1942-07-19;66.4;89.9;FAHRENHEIT
1941-08-08;60.8;82.3;FAHRENHEIT
1940-09-26;55.3;74.6;FAHRENHEIT
1939-10-13;42.1;57.9;FAHRENHEIT
1938-11-30;26.8;44.2;FAHRENHEIT
1937-12-17;13.5;28.1;FAHRENHEIT
1936-01-04;-18.2;-9.5;CELSIUS
1935-02-22;-10.7;-0.4;CELSIUS
1934-03-07;3.2;12.9;CELSIUS
1933-04-29;6.9;18.1;CELSIUS
1932-05-15;12.4;24.7;CELSIUS
1931-06-09;16.1;28.4;CELSIUS
1930-07-27;20.3;34.6;CELSIUS
1929-08-12;18.8;31.2;CELSIUS
1928-09-05;13.6;24.5;CELSIUS
1927-10-21;5.9;14.2;CELSIUS
1926-11-14;-2.1;6.4;CELSIUS
1925-12-28;-15.4;-6.9;CELSIUS
